                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2185,                 3.6801,                 2.2269,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070652,              0.0032609,              0.0032609
                      2,                 2.4088,                  2.726,                 2.4813,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040611,              0.0065534,              0.0065534
                      3,                 2.3466,                 2.6927,                 2.4574,                0.00029,                0.02839,                0.00015,                  4e-05,                    nan,                    nan,                    nan,               0.010529,              0.0098047,              0.0098047
                      4,                 2.2234,                 2.5492,                 2.3795,                0.07634,                0.10726,                0.03265,                0.01027,                 2.9301,                 19.924,                 3.8686,              0.0098144,              0.0098144,              0.0098144
                      5,                 2.1611,                 2.4418,                 2.3054,                0.02342,                0.13249,                0.01591,                0.00519,                 2.6664,                  57.49,                 3.2983,              0.0098144,              0.0098144,              0.0098144
                      6,                 2.1251,                 2.3999,                  2.276,                0.26988,                0.32474,                0.22252,                0.08168,                  2.299,                 5.7329,                 2.5969,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0732,                 2.3356,                 2.2353,                0.25385,                0.34385,                0.24053,                0.08382,                 2.0906,                  2.791,                   2.36,              0.0096906,              0.0096906,              0.0096906
                      8,                 2.0252,                 2.2607,                  2.191,                0.39742,                0.26183,                0.26185,                0.09708,                 2.1857,                 2.8625,                 2.4464,              0.0096288,              0.0096288,              0.0096288
                      9,                 1.9897,                 2.2299,                 2.1302,                0.32241,                 0.3612,                0.30351,                0.13056,                 1.9143,                 3.3785,                 2.2444,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.9385,                 2.1429,                 2.0749,                0.32672,                0.31861,                0.26593,                0.10676,                 2.0725,                 3.8108,                 2.3661,               0.009505,               0.009505,               0.009505
