                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2891,                 3.8995,                 2.2639,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070652,              0.0032609,              0.0032609
                      2,                 2.4287,                 2.7053,                 2.4779,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040611,              0.0065534,              0.0065534
                      3,                  2.329,                 2.6233,                 2.3755,                0.00668,                0.07571,                 0.0018,                0.00055,                    nan,                    nan,                    nan,               0.010529,              0.0098047,              0.0098047
                      4,                 2.1772,                   2.51,                 2.2888,                0.00049,                0.02839,                 0.0002,                  6e-05,                    nan,                    nan,                    nan,              0.0098144,              0.0098144,              0.0098144
                      5,                 2.1608,                  2.426,                 2.2523,                0.08245,                0.15773,                0.05038,                0.01594,                 2.5509,                  12.13,                 3.0648,              0.0098144,              0.0098144,              0.0098144
                      6,                 2.0908,                 2.3759,                  2.213,                0.19501,                0.20189,                0.12109,                0.04515,                  2.233,                 7.9258,                 2.5778,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0668,                 2.3141,                 2.1927,                0.39448,                0.28707,                 0.2829,                0.10591,                  2.089,                   3.46,                 2.2521,              0.0096906,              0.0096906,              0.0096906
                      8,                 2.0205,                 2.2316,                 2.1351,                0.29323,                0.19085,                 0.1871,                0.06995,                 2.1972,                 3.2633,                 2.3673,              0.0096288,              0.0096288,              0.0096288
                      9,                 2.0103,                 2.1715,                 2.1108,                0.22219,                0.35962,                0.21337,                0.08107,                 2.0615,                 2.6205,                 2.2647,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.9494,                 2.1061,                 2.0668,                 0.3499,                0.37382,                 0.3146,                0.13173,                 2.0087,                  2.882,                 2.2705,               0.009505,               0.009505,               0.009505
                     11,                 1.9457,                 2.0997,                 2.0787,                0.28115,                 0.3959,                0.26073,                  0.107,                 1.9897,                  2.519,                 2.1973,              0.0094431,              0.0094431,              0.0094431
                     12,                 1.9436,                 2.0657,                 2.0259,                0.37507,                0.42587,                0.36171,                0.14717,                  1.966,                  2.708,                 2.1212,              0.0093813,              0.0093813,              0.0093813
                     13,                 1.8854,                 2.0375,                 1.9977,                 0.4132,                0.41982,                0.34637,                0.14263,                 1.9949,                 2.7807,                 2.1795,              0.0093194,              0.0093194,              0.0093194
                     14,                 1.8532,                 1.9547,                 1.9648,                0.54899,                0.45119,                0.48498,                0.20984,                 1.9488,                 2.0428,                  2.142,              0.0092575,              0.0092575,              0.0092575
                     15,                 1.8898,                 1.9758,                 1.9534,                0.45748,                 0.4858,                0.44238,                0.19685,                 1.9344,                 2.0023,                 2.1331,              0.0091956,              0.0091956,              0.0091956
                     16,                 1.8168,                 1.9513,                 1.9434,                0.42781,                0.46372,                0.42697,                0.18916,                 1.8545,                 2.1036,                 2.0421,              0.0091337,              0.0091337,              0.0091337
                     17,                 1.8195,                 1.8866,                 1.9145,                 0.4259,                0.45899,                0.35064,                0.15317,                 1.8857,                 2.2327,                 2.0503,              0.0090719,              0.0090719,              0.0090719
                     18,                 1.7972,                 1.8833,                 1.8711,                0.51173,                0.44137,                0.44652,                0.19711,                 1.9301,                  2.062,                 2.0577,                0.00901,                0.00901,                0.00901
                     19,                 1.7709,                 1.8736,                 1.8911,                0.50903,                0.42429,                  0.434,                0.20645,                 1.8287,                 2.2352,                 2.0272,              0.0089481,              0.0089481,              0.0089481
                     20,                  1.788,                 1.8164,                 1.8483,                0.52656,                 0.5596,                0.54074,                0.23487,                 1.8278,                 1.9227,                 2.0294,              0.0088863,              0.0088863,              0.0088863
                     21,                 1.7604,                 1.7871,                 1.8547,                0.46951,                0.50631,                 0.4727,                0.20676,                 1.8255,                 2.0587,                 1.9746,              0.0088244,              0.0088244,              0.0088244
                     22,                 1.7394,                 1.8054,                 1.8471,                0.56043,                    0.5,                0.53021,                0.24074,                 1.8079,                  1.974,                 1.9991,              0.0087625,              0.0087625,              0.0087625
                     23,                 1.7393,                  1.741,                 1.8476,                0.57282,                0.51893,                0.55266,                0.24752,                 1.7476,                 1.8651,                 1.9047,              0.0087006,              0.0087006,              0.0087006
                     24,                 1.7408,                 1.7447,                 1.8281,                 0.5473,                0.55047,                0.52689,                0.24507,                 1.7727,                 1.8136,                 1.9537,              0.0086388,              0.0086388,              0.0086388
                     25,                 1.6975,                 1.7157,                 1.7912,                0.63202,                0.50473,                0.57086,                0.25396,                 1.7794,                 1.6844,                 1.8959,              0.0085769,              0.0085769,              0.0085769
                     26,                 1.6515,                 1.6722,                 1.7651,                0.58294,                0.54732,                0.56672,                0.26819,                 1.7114,                 1.9223,                 1.8487,               0.008515,               0.008515,               0.008515
                     27,                 1.6885,                 1.6657,                 1.7959,                0.63354,                 0.5347,                0.58805,                 0.2891,                 1.7507,                 1.7804,                 1.9137,              0.0084531,              0.0084531,              0.0084531
                     28,                 1.6584,                 1.6573,                 1.7694,                0.63148,                0.56309,                0.60722,                0.28634,                    nan,                    nan,                    nan,              0.0083913,              0.0083913,              0.0083913
                     29,                 1.6456,                  1.588,                 1.7563,                0.66941,                0.56212,                0.61815,                0.29839,                    nan,                    nan,                    nan,              0.0083294,              0.0083294,              0.0083294
                     30,                 1.6379,                 1.5888,                 1.7563,                 0.6556,                0.53785,                 0.5943,                 0.2669,                 1.8208,                  1.712,                 1.9709,              0.0082675,              0.0082675,              0.0082675
                     31,                 1.6148,                 1.5901,                 1.7374,                0.59154,                0.46057,                0.49977,                0.24352,                 1.8263,                  1.999,                 1.9887,              0.0082056,              0.0082056,              0.0082056
                     32,                  1.637,                 1.6136,                 1.7341,                0.58408,                0.52275,                 0.5415,                0.25588,                  1.726,                 1.9171,                 1.8824,              0.0081437,              0.0081437,              0.0081437
