                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8041,                  3.061,                 1.8294,                0.00023,                0.02208,                0.00012,                  4e-05,                    nan,                    nan,                    nan,               0.070652,              0.0032609,              0.0032609
                      2,                 1.9916,                 2.0653,                 2.0783,                0.00601,                0.02681,                0.00182,                0.00061,                 4.7984,                 1632.5,                 47.625,               0.040611,              0.0065534,              0.0065534
                      3,                 1.9443,                 2.0817,                 2.0525,                0.05414,                0.11199,                0.02324,                0.00781,                 2.8312,                 23.434,                 3.1919,               0.010529,              0.0098047,              0.0098047
                      4,                 1.8657,                 1.9847,                 2.0027,                0.17373,                0.22871,                0.12096,                0.04124,                 2.4377,                 10.113,                 2.8106,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.8549,                 1.9185,                 1.9459,                0.41683,                0.36302,                0.34303,                0.14236,                 2.1649,                 7.2105,                 2.4192,              0.0098144,              0.0098144,              0.0098144
                      6,                 1.7833,                 1.9018,                 1.8905,                0.44513,                0.47634,                0.41441,                0.16249,                 2.0014,                 3.9538,                 2.3436,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7719,                 1.7939,                  1.898,                0.47091,                0.45268,                0.44583,                0.19575,                 1.8873,                 2.6062,                 2.1664,              0.0096906,              0.0096906,              0.0096906
                      8,                 1.7344,                 1.7995,                 1.8717,                0.52951,                0.47929,                0.49789,                0.22367,                 1.8901,                 2.0416,                 2.0563,              0.0096288,              0.0096288,              0.0096288
                      9,                 1.6859,                 1.7086,                 1.7796,                0.60665,                0.57098,                0.58774,                0.28037,                 1.7611,                 1.8212,                 1.9802,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.6632,                 1.6749,                  1.764,                0.61057,                0.46493,                0.52924,                0.24681,                 1.8249,                 2.2203,                 1.9491,               0.009505,               0.009505,               0.009505
