                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3001,                 1.4992,                 1.3879,                0.38487,                0.36751,                0.29034,                0.13316,                 1.9786,                 5.7465,                 2.6055,             0.00065217,             0.00065217,             0.00065217
                      2,                 1.6598,                 1.6701,                 1.6658,                0.00638,                0.39905,                0.00998,                0.00258,                 3.2378,                    inf,                 11.455,              0.0013107,              0.0013107,              0.0013107
                      3,                 1.7688,                 1.7924,                 1.7593,                0.02563,                0.23817,                0.01692,                0.00578,                 2.7275,                    inf,                 4.8157,              0.0019609,              0.0019609,              0.0019609
                      4,                 1.7245,                 1.7788,                 1.7538,                0.02077,                0.49211,                0.01705,                0.00632,                 2.3091,                    inf,                 3.0969,              0.0019629,              0.0019629,              0.0019629
                      5,                 1.7364,                 1.7351,                 1.7082,                 0.3977,                0.38013,                0.34188,                0.14631,                 2.0022,                  3.721,                  2.194,              0.0019629,              0.0019629,              0.0019629
                      6,                 1.6666,                  1.663,                 1.6816,                0.30782,                0.39748,                0.31627,                0.13932,                 2.0032,                 7.2602,                 2.1388,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.6527,                 1.6453,                 1.6602,                0.52975,                0.52241,                0.50341,                0.22567,                 1.7744,                 4.0897,                 1.9014,              0.0019381,              0.0019381,              0.0019381
                      8,                 1.6333,                 1.6401,                 1.6509,                0.58577,                0.54259,                0.57055,                0.27741,                  1.792,                 2.0208,                  1.853,              0.0019258,              0.0019258,              0.0019258
                      9,                 1.6356,                 1.6029,                 1.6418,                0.61667,                0.58675,                0.60228,                0.28671,                 1.7777,                 1.6915,                 1.8523,              0.0019134,              0.0019134,              0.0019134
                     10,                  1.572,                 1.5239,                 1.6117,                0.61866,                0.55205,                0.60775,                0.29556,                 1.7135,                 1.6991,                 1.7102,               0.001901,               0.001901,               0.001901
                     11,                 1.5653,                 1.5396,                 1.6148,                0.46723,                0.48107,                0.45158,                0.22386,                 1.7082,                 2.0502,                 1.7351,              0.0018886,              0.0018886,              0.0018886
                     12,                  1.538,                 1.4729,                 1.5719,                0.70616,                 0.6183,                0.66556,                0.34369,                 1.6078,                 1.5493,                 1.6569,              0.0018763,              0.0018763,              0.0018763
                     13,                 1.4996,                  1.412,                 1.5428,                0.64431,                0.61041,                0.64122,                0.33428,                 1.6224,                 1.5753,                 1.6995,              0.0018639,              0.0018639,              0.0018639
