                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5358,                 4.9505,                 2.3927,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070652,              0.0032609,              0.0032609
                      2,                 2.9777,                 3.4324,                 2.9686,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040611,              0.0065534,              0.0065534
                      3,                 2.8382,                 3.3228,                 2.9796,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.010529,              0.0098047,              0.0098047
                      4,                 2.7774,                 3.3123,                 2.9502,                0.00047,                0.02681,                0.00039,                  9e-05,                    nan,                    nan,                    nan,              0.0098144,              0.0098144,              0.0098144
                      5,                 2.6993,                 3.1863,                 2.8558,                0.00139,                0.05678,                0.00097,                0.00036,                    nan,                    nan,                    nan,              0.0098144,              0.0098144,              0.0098144
                      6,                  2.642,                 3.1336,                 2.8013,                 0.0108,                0.54574,                0.02324,                0.00646,                 2.7982,                 3.4412,                 3.2753,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.6146,                 3.0688,                 2.8125,                0.00737,                0.71451,                0.02837,                0.00745,                    nan,                    nan,                    nan,              0.0096906,              0.0096906,              0.0096906
                      8,                 2.5698,                 3.0538,                 2.7686,                0.08841,                0.05363,                0.03369,                0.00998,                 2.6042,                 3.2754,                  2.902,              0.0096288,              0.0096288,              0.0096288
                      9,                 2.5767,                  3.004,                 2.7529,                0.06303,                 0.0489,                0.02925,                 0.0087,                 2.6782,                 3.5852,                 2.9692,              0.0095669,              0.0095669,              0.0095669
                     10,                 2.5328,                 2.9633,                 2.7336,                 0.0344,                0.51735,                 0.0578,                0.01559,                 2.5985,                 3.1451,                 2.8979,               0.009505,               0.009505,               0.009505
                     11,                 2.5246,                 2.9532,                 2.7445,                0.05458,                0.14038,                0.03938,                0.00994,                 2.7077,                 3.7335,                 3.0674,              0.0094431,              0.0094431,              0.0094431
                     12,                 2.5026,                 2.8954,                 2.6762,                0.11883,                0.09306,                0.03361,                0.01093,                    nan,                    nan,                    nan,              0.0093813,              0.0093813,              0.0093813
                     13,                 2.4735,                 2.8171,                 2.6587,                0.09225,                0.08202,                0.03703,                0.01304,                 2.6473,                 3.7842,                 2.9596,              0.0093194,              0.0093194,              0.0093194
                     14,                 2.4282,                 2.8233,                 2.6189,                0.08597,                 0.3817,                0.07236,                0.02185,                 2.4516,                 3.2017,                 2.7734,              0.0092575,              0.0092575,              0.0092575
                     15,                 2.4615,                 2.8097,                 2.6127,                0.06992,                0.19243,                0.04229,                0.01422,                 2.7905,                 3.2666,                 3.2232,              0.0091956,              0.0091956,              0.0091956
                     16,                 2.4056,                 2.7453,                 2.5954,                0.13343,                0.14511,                0.07939,                 0.0243,                 2.4689,                 3.2401,                 2.8127,              0.0091337,              0.0091337,              0.0091337
