                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1549,                 1.4776,                 1.2847,                0.79533,                0.65931,                0.77531,                0.49361,                 1.2131,                 2.0126,                 1.3179,               0.070652,              0.0032609,              0.0032609
                      2,                 1.4092,                  1.317,                 1.4611,                0.43387,                0.48231,                0.40492,                0.19512,                 1.8446,                 3.7087,                 2.0958,               0.040611,              0.0065534,              0.0065534
                      3,                 1.6143,                 1.6023,                 1.6262,                0.15154,                0.25552,                0.09229,                0.03231,                 2.5267,                  24.03,                  3.225,               0.010529,              0.0098047,              0.0098047
                      4,                 1.6513,                 1.6694,                 1.6824,                0.01546,                0.40536,                0.01061,                0.00342,                 3.2235,                    inf,                 26.497,              0.0098144,              0.0098144,              0.0098144
                      5,                  1.722,                 1.7312,                  1.707,                0.15883,                0.31546,                0.12895,                 0.0469,                 2.1691,                 9.9321,                 2.3255,              0.0098144,              0.0098144,              0.0098144
                      6,                 1.6758,                 1.6753,                 1.6806,                0.36717,                0.42271,                 0.3359,                0.14237,                  1.951,                 7.3129,                 2.0803,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6641,                 1.6651,                 1.6853,                0.42926,                0.42429,                  0.395,                0.16636,                 1.9334,                 5.8615,                 2.2092,              0.0096906,              0.0096906,              0.0096906
                      8,                 1.6519,                 1.6365,                 1.6732,                0.51173,                0.50631,                0.49298,                0.23909,                 1.8248,                 2.0414,                 1.9192,              0.0096288,              0.0096288,              0.0096288
                      9,                 1.6557,                 1.5967,                   1.65,                0.59271,                0.55317,                0.55694,                0.25327,                 1.8179,                 2.2776,                 2.0151,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.6056,                 1.5764,                  1.625,                 0.5412,                0.42979,                0.44503,                0.19908,                 1.9706,                 2.4919,                 2.0229,               0.009505,               0.009505,               0.009505
                     11,                 1.6221,                 1.6198,                  1.661,                0.65031,                0.52997,                0.58243,                0.27849,                 1.7032,                 2.5229,                 1.7624,              0.0094431,              0.0094431,              0.0094431
                     12,                 1.6015,                 1.5456,                 1.6193,                0.41277,                0.40221,                0.32244,                0.13156,                 2.3225,                 3.1578,                 2.4495,              0.0093813,              0.0093813,              0.0093813
                     13,                 1.5705,                  1.555,                 1.6014,                0.59041,                0.54259,                0.55453,                0.25215,                 1.8213,                 2.3795,                  1.892,              0.0093194,              0.0093194,              0.0093194
                     14,                 1.5456,                 1.4813,                 1.5923,                0.70001,                 0.5489,                0.61155,                0.32278,                 1.6373,                 1.6869,                 1.7282,              0.0092575,              0.0092575,              0.0092575
                     15,                 1.5912,                 1.5228,                 1.6205,                0.62284,                0.59306,                0.59469,                0.30444,                 1.6609,                  1.689,                 1.7642,              0.0091956,              0.0091956,              0.0091956
                     16,                 1.5378,                 1.5422,                 1.5928,                 0.5081,                0.49685,                0.49058,                0.22367,                 1.8501,                 2.6849,                  1.881,              0.0091337,              0.0091337,              0.0091337
                     17,                  1.535,                 1.4632,                 1.5572,                0.65677,                0.55205,                0.61876,                0.31322,                 1.6407,                  1.636,                 1.6949,              0.0090719,              0.0090719,              0.0090719
                     18,                  1.495,                 1.4153,                 1.5424,                0.70473,                0.59104,                 0.6477,                0.33455,                 1.6803,                 1.4951,                 1.8045,                0.00901,                0.00901,                0.00901
                     19,                 1.4937,                 1.4342,                 1.5766,                0.65752,                 0.5489,                 0.6174,                0.30517,                 1.6186,                 1.6937,                 1.7239,              0.0089481,              0.0089481,              0.0089481
                     20,                 1.5368,                 1.4093,                 1.5486,                0.68909,                0.58202,                 0.6439,                0.34259,                 1.6169,                 1.4796,                 1.6993,              0.0088863,              0.0088863,              0.0088863
                     21,                 1.5155,                 1.4343,                 1.5505,                0.66536,                0.60726,                0.64134,                0.33244,                  1.574,                 1.7773,                 1.6214,              0.0088244,              0.0088244,              0.0088244
