                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3791,                 33.322,                 3.9544,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070652,              0.0032609,              0.0032609
                      2,                 3.7555,                 5.8642,                 3.6797,                0.01089,                0.29338,                0.01044,                0.00263,                 3.9951,                 8.3301,                 3.4452,               0.040611,              0.0065534,              0.0065534
                      3,                 3.6095,                 4.9534,                 3.5215,                0.01089,                0.29338,                0.01044,                0.00263,                 6.3091,                 8.4729,                  14.49,               0.010529,              0.0098047,              0.0098047
                      4,                 3.5233,                 3.6352,                 3.3446,                0.01089,                0.29338,                0.01044,                0.00263,                 4.8317,                 3.7309,                 7.7903,              0.0098144,              0.0098144,              0.0098144
                      5,                 3.4297,                 6.5072,                 3.3184,                0.01089,                0.29338,                0.01044,                0.00263,                      0,                      0,                      0,              0.0098144,              0.0098144,              0.0098144
                      6,                 3.3014,                 4.1466,                 3.3922,                0.01089,                0.29338,                0.01044,                0.00263,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.1559,                 3.5698,                 3.3251,                0.01089,                0.29338,                0.01044,                0.00263,                      0,                      0,                      0,              0.0096906,              0.0096906,              0.0096906
                      8,                 3.1589,                  3.402,                 3.2845,                0.01089,                0.29338,                0.01044,                0.00263,                   4.41,                 6.3116,                 26.987,              0.0096288,              0.0096288,              0.0096288
                      9,                  3.176,                 3.8258,                  3.285,                0.01089,                0.29338,                0.01044,                0.00263,                 4.2362,                 6.2664,                  4.774,              0.0095669,              0.0095669,              0.0095669
                     10,                 3.1375,                 3.4304,                 3.2046,                0.01089,                0.29338,                0.01044,                0.00263,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                     11,                 3.1245,                 3.3078,                 3.2298,                0.00256,                0.00473,                0.00129,                0.00035,                 4.0452,                  6.113,                 4.6069,              0.0094431,              0.0094431,              0.0094431
                     12,                 3.0763,                 3.2697,                 3.1499,                0.00256,                0.00473,                0.00129,                0.00035,                  4.508,                 7.7714,                 7.8572,              0.0093813,              0.0093813,              0.0093813
                     13,                 3.0384,                 3.2165,                 3.1052,                0.00702,                0.31861,                0.00657,                0.00204,                 4.2905,                 3.2747,                 5.2615,              0.0093194,              0.0093194,              0.0093194
                     14,                 2.9895,                  3.306,                 3.0489,                0.00702,                0.31861,                0.00657,                0.00204,                      0,                      0,                      0,              0.0092575,              0.0092575,              0.0092575
                     15,                 3.0331,                 3.2861,                 3.0545,                0.00127,                0.00789,                0.00067,                0.00027,                 4.2265,                 7.2483,                 24.488,              0.0091956,              0.0091956,              0.0091956
                     16,                 3.0288,                 3.2489,                 3.0646,                0.00127,                0.00789,                0.00067,                0.00027,                 5.2701,                 3.9082,                 9.1247,              0.0091337,              0.0091337,              0.0091337
                     17,                 2.9412,                 3.2283,                 3.0217,                0.00035,                0.02681,                0.00025,                  5e-05,                 3.7734,                 4.1852,                 9.7189,              0.0090719,              0.0090719,              0.0090719
                     18,                 2.8954,                 3.2189,                 2.9918,                0.00012,                0.00473,                  6e-05,                  1e-05,                 4.6155,                 4.0578,                 14.113,                0.00901,                0.00901,                0.00901
                     19,                 2.8625,                 3.2341,                 3.0063,                0.00042,                0.04101,                0.00029,                  8e-05,                 4.0278,                 3.9987,                 9.3916,              0.0089481,              0.0089481,              0.0089481
                     20,                 2.8739,                 3.1894,                 2.9469,                0.00071,                0.00315,                0.00037,                  6e-05,                 3.7514,                 4.1836,                 4.3076,              0.0088863,              0.0088863,              0.0088863
                     21,                  2.872,                 3.1885,                 2.9386,                0.00933,                0.02208,                0.00429,                0.00109,                 3.7398,                 14.062,                 12.697,              0.0088244,              0.0088244,              0.0088244
                     22,                 2.8457,                 3.1513,                 2.9411,                0.00933,                0.02208,                0.00429,                0.00109,                 4.3238,                 4.1207,                 5.0334,              0.0087625,              0.0087625,              0.0087625
                     23,                 2.8346,                 3.1586,                 2.8942,                0.00933,                0.02208,                0.00429,                0.00109,                 3.4596,                 4.2713,                 3.4879,              0.0087006,              0.0087006,              0.0087006
                     24,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,              0.0086388,              0.0086388,              0.0086388
                     25,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,              0.0085769,              0.0085769,              0.0085769
                     26,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     27,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,              0.0084531,              0.0084531,              0.0084531
                     28,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,              0.0083913,              0.0083913,              0.0083913
                     29,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,              0.0083294,              0.0083294,              0.0083294
                     30,                    nan,                    nan,                    nan,                0.00933,                0.02208,                0.00429,                0.00109,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
