                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1026,                 1.2616,                 1.2395,                0.87797,                0.85331,                0.90902,                 0.6698,                0.91382,                0.67001,                 1.0637,               0.070652,              0.0032609,              0.0032609
                      2,                 1.0513,                0.82019,                 1.1769,                0.80915,                0.85016,                0.86711,                0.62427,                0.96637,                0.84157,                 1.0893,               0.040611,              0.0065534,              0.0065534
                      3,                 1.0777,                 0.8323,                 1.1892,                0.81252,                0.79811,                0.85165,                0.55067,                 1.1063,                0.85352,                 1.1798,               0.010529,              0.0098047,              0.0098047
                      4,                 1.1074,                0.91563,                 1.2175,                0.76106,                0.67192,                0.78042,                0.46518,                 1.2953,                 1.2187,                 1.3575,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.2083,                 1.0452,                 1.2815,                0.77154,                0.70314,                0.74012,                0.45074,                 1.3124,                  1.244,                 1.3883,              0.0098144,              0.0098144,              0.0098144
                      6,                 1.2026,                0.96771,                 1.2848,                0.81511,                0.69874,                0.78233,                0.47067,                 1.3521,                 1.0467,                 1.4269,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2212,                0.99209,                 1.3019,                0.79978,                0.66784,                0.74125,                0.46111,                 1.3099,                 1.1268,                 1.4095,              0.0096906,              0.0096906,              0.0096906
                      8,                 1.2081,                 1.0151,                 1.3002,                0.75101,                0.74448,                0.79441,                0.47437,                 1.3503,                  1.118,                 1.4181,              0.0096288,              0.0096288,              0.0096288
                      9,                 1.2263,                 1.0218,                 1.2943,                0.77524,                0.72397,                0.78493,                0.48409,                 1.2841,                 1.1084,                 1.3778,              0.0095669,              0.0095669,              0.0095669
                     10,                 1.1979,                 1.0027,                 1.2973,                0.73781,                0.72397,                0.76872,                0.46392,                 1.3258,                 1.1885,                 1.3904,               0.009505,               0.009505,               0.009505
                     11,                 1.1642,                0.97147,                 1.2818,                 0.7931,                0.68454,                0.77008,                0.47206,                 1.3084,                  1.027,                 1.4034,              0.0094431,              0.0094431,              0.0094431
                     12,                   1.18,                0.92048,                 1.2702,                0.77899,                0.71767,                0.78889,                0.48197,                 1.3056,                 1.0837,                  1.382,              0.0093813,              0.0093813,              0.0093813
                     13,                 1.1301,                0.90716,                 1.2472,                0.81961,                0.71609,                0.81462,                0.48896,                 1.2931,                 1.0201,                 1.3695,              0.0093194,              0.0093194,              0.0093194
                     14,                 1.1167,                0.89933,                 1.2478,                 0.7599,                0.77603,                0.78942,                 0.4853,                 1.3148,                0.95818,                 1.4207,              0.0092575,              0.0092575,              0.0092575
                     15,                 1.1709,                0.92852,                 1.2636,                0.85557,                0.69558,                0.82131,                0.50748,                 1.2806,                 1.0237,                 1.3651,              0.0091956,              0.0091956,              0.0091956
                     16,                 1.1078,                0.88168,                  1.236,                0.79308,                0.74963,                0.79541,                0.48975,                 1.2931,                0.99344,                 1.3721,              0.0091337,              0.0091337,              0.0091337
                     17,                 1.1277,                0.88071,                 1.2376,                0.83286,                 0.7224,                0.80116,                0.49799,                 1.2726,                 0.9516,                 1.3773,              0.0090719,              0.0090719,              0.0090719
                     18,                 1.1119,                 0.8556,                 1.2303,                0.78705,                0.75394,                0.81287,                0.50365,                  1.259,                0.95842,                 1.3744,                0.00901,                0.00901,                0.00901
                     19,                 1.0797,                0.83516,                 1.2375,                0.81913,                0.76183,                0.81317,                0.51156,                 1.2551,                0.91113,                 1.3488,              0.0089481,              0.0089481,              0.0089481
                     20,                 1.0826,                0.82399,                 1.1928,                0.80997,                0.71937,                 0.8035,                0.50882,                  1.259,                0.94097,                 1.3474,              0.0088863,              0.0088863,              0.0088863
                     21,                 1.0768,                0.83736,                 1.2133,                0.82849,                0.73142,                0.83013,                0.52398,                 1.2658,                0.87919,                 1.3669,              0.0088244,              0.0088244,              0.0088244
