                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6455,                 1.7275,                 1.6508,                0.42726,                0.35396,                0.30325,                0.12318,                 2.0878,                 2.1561,                 2.1854,               0.067075,             0.00033257,             0.00033257
                      1,                   1.75,                 1.9104,                 1.7707,                0.41327,                0.37518,                0.33029,                0.13878,                 1.9745,                 2.1157,                 1.9674,               0.034071,             0.00066175,             0.00066175
                      2,                 1.7403,                 1.9262,                 1.7722,                0.46207,                0.36891,                0.34737,                0.15424,                 1.9439,                 2.0436,                 1.9862,              0.0010629,             0.00098676,             0.00098676
                      3,                 1.7139,                 1.8751,                 1.7511,                0.47746,                0.39899,                 0.3743,                0.16924,                 1.8755,                 1.9275,                 1.9033,             0.00098127,             0.00098127,             0.00098127
                      4,                 1.6625,                 1.7965,                 1.7067,                0.54872,                0.42643,                 0.4377,                0.21065,                 1.7976,                 1.7975,                 1.8181,             0.00098127,             0.00098127,             0.00098127
                      5,                  1.636,                 1.7713,                 1.6901,                0.51826,                0.41825,                0.41683,                0.19409,                 1.8107,                 1.8564,                 1.8767,             0.00097503,             0.00097503,             0.00097503
                      6,                 1.6214,                 1.7247,                 1.6658,                0.56464,                 0.4713,                0.48064,                0.23748,                 1.7318,                  1.657,                 1.7508,             0.00096878,             0.00096878,             0.00096878
                      7,                 1.5873,                 1.6808,                 1.6501,                0.52788,                0.43277,                0.43429,                0.21392,                 1.7533,                 1.7364,                  1.774,             0.00096254,             0.00096254,             0.00096254
                      8,                 1.5761,                  1.673,                 1.6505,                0.57015,                0.45852,                 0.4799,                0.24247,                 1.7156,                 1.6336,                 1.7553,             0.00095629,             0.00095629,             0.00095629
                      9,                 1.5609,                 1.6494,                 1.6336,                0.51367,                0.45238,                0.44464,                0.22303,                 1.7106,                 1.6801,                 1.7416,             0.00095005,             0.00095005,             0.00095005
