                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2466,                 1.3929,                  1.337,                0.45475,                0.48016,                0.43934,                0.21767,                 1.7567,                 2.4988,                  1.904,               0.067717,             0.00032609,             0.00032609
                      2,                 1.4214,                 1.2794,                 1.4809,                0.39568,                0.26025,                0.23639,                0.11319,                 1.6912,                 11.737,                 2.1767,               0.034713,             0.00065534,             0.00065534
                      3,                  1.462,                 1.4167,                   1.52,                0.49369,                0.54598,                0.51813,                0.26957,                 1.6349,                 4.4304,                  1.864,              0.0017051,             0.00098047,             0.00098047
                      4,                 1.4613,                 1.4304,                 1.5149,                0.59647,                0.52681,                 0.5463,                0.27898,                 1.6905,                 2.1597,                 1.8295,             0.00098144,             0.00098144,             0.00098144
                      5,                  1.491,                 1.4392,                 1.5205,                0.60788,                0.54574,                0.57309,                0.27996,                 1.6181,                 2.0426,                 1.7354,             0.00098144,             0.00098144,             0.00098144
                      6,                 1.4534,                 1.4091,                 1.5011,                0.65718,                0.58517,                0.64541,                0.33346,                 1.6179,                 2.9473,                 1.7223,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.4365,                 1.3339,                 1.5106,                0.68623,                0.53469,                0.59715,                0.30156,                 1.6886,                 2.2846,                 1.8541,             0.00096906,             0.00096906,             0.00096906
                      8,                 1.4171,                 1.3357,                 1.4941,                0.69492,                0.64511,                0.69523,                0.39637,                 1.5373,                 1.4259,                  1.612,             0.00096288,             0.00096288,             0.00096288
                      9,                 1.4491,                 1.3285,                 1.4936,                0.74345,                0.69401,                0.73516,                0.40831,                  1.529,                 1.2639,                 1.6444,             0.00095669,             0.00095669,             0.00095669
                     10,                 1.3679,                 1.2712,                 1.4454,                0.73109,                 0.6861,                0.75084,                0.42445,                 1.4911,                 1.2767,                 1.5485,              0.0009505,              0.0009505,              0.0009505
                     11,                 1.3753,                  1.255,                 1.4651,                 0.7422,                0.67666,                0.74588,                0.42455,                 1.4957,                 1.3346,                 1.5658,             0.00094431,             0.00094431,             0.00094431
                     12,                 1.3874,                 1.2218,                 1.4575,                  0.769,                0.65457,                0.73133,                0.41141,                 1.4613,                 1.3172,                 1.5367,             0.00093813,             0.00093813,             0.00093813
                     13,                 1.3219,                 1.1821,                 1.4186,                0.71892,                 0.6576,                0.72003,                0.39589,                 1.5265,                 1.2635,                 1.6011,             0.00093194,             0.00093194,             0.00093194
                     14,                 1.3077,                 1.1378,                 1.4141,                0.76265,                0.69434,                0.73891,                0.41997,                 1.4104,                 1.1866,                 1.5141,             0.00092575,             0.00092575,             0.00092575
                     15,                 1.3417,                 1.1797,                 1.4171,                0.75711,                0.66246,                0.73846,                 0.4314,                 1.4031,                 1.1667,                 1.5113,             0.00091956,             0.00091956,             0.00091956
                     16,                 1.2726,                 1.1321,                 1.3825,                 0.7355,                0.67508,                0.73827,                0.43401,                 1.4036,                 1.2721,                 1.5002,             0.00091337,             0.00091337,             0.00091337
                     17,                 1.2821,                 1.1132,                 1.3869,                0.76822,                0.70978,                0.78044,                0.46421,                 1.3846,                 1.0972,                 1.4722,             0.00090719,             0.00090719,             0.00090719
                     18,                 1.2672,                 1.0947,                 1.3648,                0.76782,                0.70189,                0.77086,                0.44599,                 1.4192,                 1.1496,                 1.4991,               0.000901,               0.000901,               0.000901
                     19,                 1.2391,                 1.0773,                 1.3886,                 0.7567,                0.67192,                0.73268,                0.44115,                 1.3748,                 1.1618,                 1.4955,             0.00089481,             0.00089481,             0.00089481
                     20,                 1.2567,                 1.0204,                 1.3573,                0.79077,                0.68927,                 0.7728,                 0.4617,                 1.4147,                 1.1293,                 1.5224,             0.00088862,             0.00088862,             0.00088862
                     21,                 1.2219,                 1.0387,                 1.3421,                0.75253,                 0.7082,                0.76784,                0.45531,                 1.3927,                 1.1303,                 1.4932,             0.00088244,             0.00088244,             0.00088244
                     22,                  1.224,                 1.0354,                   1.35,                 0.7239,                0.72369,                0.76644,                0.45545,                 1.4261,                 1.1227,                 1.5393,             0.00087625,             0.00087625,             0.00087625
                     23,                 1.1898,                0.99526,                 1.3311,                0.77838,                0.69802,                0.75322,                 0.4544,                 1.3686,                 1.1131,                 1.4896,             0.00087006,             0.00087006,             0.00087006
                     24,                  1.184,                0.97758,                  1.315,                0.73587,                0.73659,                0.78544,                0.46452,                 1.3425,                 1.1157,                 1.4981,             0.00086388,             0.00086388,             0.00086388
                     25,                 1.1592,                0.94953,                 1.3096,                0.76804,                0.70503,                0.78095,                0.46067,                 1.4132,                 1.0821,                 1.5315,             0.00085769,             0.00085769,             0.00085769
                     26,                 1.1673,                0.96303,                 1.3234,                0.80005,                0.69716,                0.77627,                0.46919,                 1.3468,                 1.0674,                 1.4596,              0.0008515,              0.0008515,              0.0008515
                     27,                 1.1435,                0.95727,                 1.3079,                0.79143,                0.73502,                0.79089,                0.47584,                 1.3727,                 1.0635,                 1.4778,             0.00084531,             0.00084531,             0.00084531
                     28,                 1.1453,                0.94228,                 1.2976,                 0.7848,                0.69601,                0.77251,                0.46685,                 1.4048,                 1.1232,                 1.5105,             0.00083913,             0.00083913,             0.00083913
                     29,                 1.1194,                0.89695,                 1.2735,                0.78761,                0.71945,                0.78254,                0.47014,                 1.3841,                 1.0488,                 1.5009,             0.00083294,             0.00083294,             0.00083294
                     30,                 1.1296,                0.91802,                 1.2921,                0.79885,                0.72663,                0.79637,                0.47974,                 1.3594,                 1.0315,                 1.4569,             0.00082675,             0.00082675,             0.00082675
                     31,                  1.124,                0.90224,                 1.2871,                0.80678,                0.71767,                0.78788,                 0.4791,                 1.3811,                 1.0201,                 1.4816,             0.00082056,             0.00082056,             0.00082056
                     32,                 1.1192,                0.90021,                 1.2787,                0.73217,                 0.7589,                0.79035,                0.48172,                 1.3916,                 1.0437,                 1.4717,             0.00081437,             0.00081437,             0.00081437
                     33,                 1.1134,                 0.9234,                 1.2763,                0.82946,                0.74411,                0.81838,                 0.4984,                 1.3148,                0.95672,                 1.4438,             0.00080819,             0.00080819,             0.00080819
                     34,                 1.0735,                 0.8649,                 1.2403,                0.84637,                0.73862,                0.82394,                0.50935,                 1.2876,                0.96183,                 1.4193,               0.000802,               0.000802,               0.000802
                     35,                 1.0803,                 0.8518,                 1.2606,                0.77241,                 0.7776,                0.80622,                0.50668,                 1.2675,                0.95596,                 1.4199,             0.00079581,             0.00079581,             0.00079581
                     36,                 1.0495,                  0.841,                 1.2409,                0.81146,                0.72082,                0.80544,                0.49607,                 1.3168,                0.99902,                 1.4589,             0.00078963,             0.00078963,             0.00078963
                     37,                  1.055,                0.82779,                 1.2402,                0.76485,                0.75414,                0.80917,                0.50712,                  1.339,                0.97339,                 1.4616,             0.00078344,             0.00078344,             0.00078344
                     38,                 1.0525,                0.84083,                 1.2547,                0.80744,                0.72093,                0.79383,                0.49525,                 1.3178,                0.97196,                 1.4622,             0.00077725,             0.00077725,             0.00077725
                     39,                 1.0555,                0.83904,                 1.2427,                0.78739,                0.74763,                0.81177,                0.49438,                 1.3082,                0.94756,                 1.4636,             0.00077106,             0.00077106,             0.00077106
                     40,                 1.0255,                0.80065,                  1.229,                0.79625,                0.73969,                0.82203,                0.50534,                  1.302,                0.93786,                 1.4369,             0.00076488,             0.00076488,             0.00076488
                     41,                 1.0272,                 0.8184,                 1.2205,                0.78461,                0.72871,                0.79728,                0.48449,                 1.3137,                0.93517,                 1.4609,             0.00075869,             0.00075869,             0.00075869
                     42,                 1.0166,                0.78658,                  1.216,                0.76646,                0.78549,                0.82732,                0.51185,                 1.2962,                0.92753,                 1.4375,              0.0007525,              0.0007525,              0.0007525
                     43,                 1.0215,                0.78718,                 1.2087,                 0.8384,                0.74466,                0.82883,                0.51278,                  1.309,                0.93127,                 1.4299,             0.00074631,             0.00074631,             0.00074631
                     44,                 1.0071,                0.77103,                 1.2168,                0.81646,                0.73975,                0.82057,                0.50549,                  1.347,                0.91712,                 1.4758,             0.00074013,             0.00074013,             0.00074013
                     45,                 1.0293,                 0.7908,                 1.2224,                0.83616,                0.74059,                 0.8251,                0.52514,                 1.2673,                0.93204,                 1.4247,             0.00073394,             0.00073394,             0.00073394
                     46,                0.97555,                0.77312,                 1.1993,                0.80816,                0.75084,                0.81774,                0.51061,                 1.2977,                0.94153,                 1.4476,             0.00072775,             0.00072775,             0.00072775
                     47,                 0.9626,                0.72894,                  1.188,                0.78019,                 0.7558,                0.79761,                0.49839,                 1.3228,                 0.9766,                 1.4494,             0.00072156,             0.00072156,             0.00072156
                     48,                0.97099,                0.74813,                 1.1954,                 0.8422,                0.75079,                 0.8222,                0.51797,                 1.2709,                0.89284,                 1.4542,             0.00071537,             0.00071537,             0.00071537
                     49,                0.98055,                0.75053,                 1.2009,                0.84309,                0.69874,                0.79679,                0.48951,                 1.3224,                0.96978,                 1.4698,             0.00070919,             0.00070919,             0.00070919
