                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4038,                 1.3866,                 1.4551,                0.63671,                0.52295,                0.56169,                0.31113,                 1.4966,                 1.3258,                 1.5061,               0.070068,              0.0033257,              0.0033257
                      1,                 1.4345,                 1.3453,                  1.475,                0.59368,                0.46568,                0.48512,                0.24256,                 1.7026,                 1.5617,                 1.6832,               0.040027,              0.0066179,              0.0066179
                      2,                 1.5736,                 1.5867,                 1.6028,                0.51548,                0.41007,                0.39641,                0.18337,                  1.849,                 1.9444,                 1.8904,              0.0099448,              0.0098687,              0.0098687
                      3,                 1.6965,                 1.7933,                 1.7094,                0.51969,                0.39957,                0.39679,                0.18364,                 1.8693,                 1.8245,                 1.8663,              0.0098144,              0.0098144,              0.0098144
                      4,                 1.6767,                 1.7791,                 1.7023,                0.53711,                0.43615,                 0.4355,                0.20718,                 1.8135,                 1.7424,                 1.8008,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.6517,                 1.7299,                 1.6856,                0.52408,                0.43244,                0.42214,                0.20421,                 1.7571,                 1.7865,                 1.7874,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.6326,                 1.6905,                 1.6598,                0.57157,                0.45619,                0.46733,                0.23148,                 1.7444,                 1.6549,                 1.7665,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.5981,                 1.6389,                 1.6444,                 0.5794,                0.44114,                 0.4678,                0.23591,                 1.7266,                 1.6234,                 1.7602,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.5851,                 1.6259,                 1.6393,                0.57824,                0.44919,                0.47527,                0.24061,                 1.7037,                 1.6179,                 1.7216,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.5611,                 1.5887,                 1.6167,                0.56894,                0.46031,                0.47935,                0.24436,                 1.6928,                 1.5993,                 1.7197,               0.009505,               0.009505,               0.009505
                     10,                 1.5545,                 1.5738,                  1.607,                0.59958,                0.49009,                0.51662,                0.26431,                 1.6791,                 1.5321,                 1.7072,              0.0094431,              0.0094431,              0.0094431
                     11,                 1.5395,                 1.5478,                 1.5987,                0.59814,                0.48613,                0.50514,                0.25502,                 1.6554,                 1.5655,                 1.6921,              0.0093813,              0.0093813,              0.0093813
                     12,                 1.5302,                 1.4947,                 1.5837,                0.60496,                0.50191,                0.52784,                0.27733,                 1.6242,                 1.4717,                 1.6646,              0.0093194,              0.0093194,              0.0093194
                     13,                 1.5089,                 1.5001,                 1.5844,                0.59118,                0.50906,                0.52882,                0.27564,                 1.6483,                 1.4925,                 1.6787,              0.0092575,              0.0092575,              0.0092575
                     14,                 1.4967,                 1.4826,                 1.5749,                0.60774,                0.51476,                0.53914,                0.27887,                 1.6338,                 1.4472,                 1.6734,              0.0091956,              0.0091956,              0.0091956
                     15,                 1.4908,                 1.4617,                 1.5649,                0.62388,                0.50096,                0.53848,                0.28483,                 1.6026,                 1.4414,                 1.6524,              0.0091337,              0.0091337,              0.0091337
                     16,                 1.4815,                 1.4527,                 1.5515,                0.61759,                  0.519,                0.54636,                0.29173,                 1.5918,                  1.415,                 1.6314,              0.0090719,              0.0090719,              0.0090719
                     17,                 1.4676,                 1.4344,                 1.5554,                0.62113,                0.50837,                0.54531,                0.29114,                 1.5952,                 1.4243,                 1.6438,                0.00901,                0.00901,                0.00901
                     18,                 1.4619,                 1.4226,                 1.5484,                0.64054,                0.51758,                0.55715,                0.29779,                 1.6087,                 1.3707,                 1.6395,              0.0089481,              0.0089481,              0.0089481
                     19,                 1.4592,                 1.4146,                 1.5412,                0.62726,                0.52128,                0.55824,                 0.2975,                 1.6014,                    1.4,                 1.6359,              0.0088863,              0.0088863,              0.0088863
                     20,                 1.4493,                 1.3834,                 1.5276,                0.62547,                0.52959,                0.56319,                0.30137,                   1.57,                 1.4008,                 1.6056,              0.0088244,              0.0088244,              0.0088244
                     21,                 1.4379,                 1.3746,                  1.518,                0.64761,                0.53432,                0.57246,                 0.3105,                 1.5753,                 1.3395,                 1.6121,              0.0087625,              0.0087625,              0.0087625
